Model,Approach,Total_Samples,Accuracy,Precision,Recall,F1,Jaccard,Levenshtein
claude-3.5-sonnet,few_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
claude-3.5-sonnet,zero_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
claude-3.5-sonnet,zero_shot_self_refine,1,100.00,100.00,100.00,100.00,1.00,0.00
gemini-1.5-pro,few_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gemini-1.5-pro,zero_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gemini-1.5-pro,zero_shot_self_refine,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-3.5-turbo,few_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-3.5-turbo,zero_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-3.5-turbo,zero_shot_self_refine,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-4o,few_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-4o,zero_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-4o,zero_shot_self_refine,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-4o-mini,few_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-4o-mini,zero_shot,1,100.00,100.00,100.00,100.00,1.00,0.00
gpt-4o-mini,zero_shot_self_refine,1,100.00,100.00,100.00,100.00,1.00,0.00
